taxon_name	rpm	taxid	taxonomic_rank	classifier	centrifuge_genome_size	centrifuge_num_reads	centrifuge_abundance	kaiju_percent	kraken2_percentage_fragments_covered	kraken2_num_fragments_covered	reads_count	cami_taxid	cami_rank	cami_taxpath	cami_taxpathsn	cami_percentage
Hubei diptera virus 3	45.4	1922884	leaf	centrifuge	12096	1.0	0.0				1					
Noumeavirus	45.4	1955558	species	centrifuge	376207	1.0	0.0				1					
Proteus phage VB_PmiS-Isfahan	45.4	1969841	species	centrifuge	54836	0.0	0.0				1					
Neodiprion abietis NPV	45.4	204507	species	centrifuge	84264	1.0	0.0				1					
Pandoravirus quercus	45.4	2107709	species	centrifuge	2077288	1.0	0.0				1					
Influenza A virus (A/Puerto Rico/8/1934(H1N1))	45.4	211044	leaf	centrifuge	13588	1.0	0.0				1					
Acanthamoeba polyphaga mimivirus	45.4	212035	species	centrifuge	1181549	1.0	0.0				1					
Mycoplasma phage phiMFV1	45.4	280702	species	centrifuge	18855	1.0	0.0				1					
Listeria phage P35	45.4	330398	species	centrifuge	35822	0.0	0.0				1					
Influenza A virus (A/New York/392/2004(H3N2))	45.4	335341	leaf	centrifuge	13627	1.0	0.0				1					
Bacillus phage Fah	45.4	345922	species	centrifuge	37974	0.0	0.0				1					
Bacillus phage Gamma	45.4	347962	species	centrifuge	37253	0.0	0.0				1					
Bacillus virus Wbeta	45.4	359961	species	centrifuge	40867	0.0	0.0				1					
Listeria phage A500	45.4	40522	species	centrifuge	38867	0.0	0.0				1					
Chrysochromulina ericina virus	45.4	455364	species	centrifuge	473558	1.0	0.0				1					
Staphylococcus virus Twort	45.4	55510	species	centrifuge	130706	0.0	0.0				1					
BeAn 58058 virus	45.4	67082	species	centrifuge	163005	1.0	0.0				1					
Torque teno virus 5	45.4	687344	species	centrifuge	3229	1.0	0.0				1					
Beluga whale coronavirus SW1	45.4	694015	species	centrifuge	31686	1.0	0.0				1					
Campylobacter virus CP220	45.4	722417	species	centrifuge	177534	0.0	0.0				1					
Campylobacter virus CPt10	45.4	722418	species	centrifuge	175720	0.0	0.0				1					
Oryctes rhinoceros nudivirus	45.4	92521	species	centrifuge	127615	1.0	0.0				1					
Cyanophage P-RSM6	45.4	929832	species	centrifuge	192497	1.0	0.0				1					
Campylobacter virus NCTC12673	45.4	934027	species	centrifuge	135041	0.0	0.0				1					
Tomato leaf curl Ranchi virus	45.4	938276	species	centrifuge	2762	1.0	0.0				1					
Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	45.4	93838	leaf	centrifuge	13590	1.0	0.0				1					
Iris severe mosaic virus	21.5	32620	S	kraken2					0.0	1	1	32620	species	10239|2732408|2732507|2732550|39729|12195|32620	Viruses|Pisuviricota|Stelpaviricetes|Patatavirales|Potyviridae|Potyvirus|Iris severe mosaic virus	0.009009009009009
